"id"|"id_registre"|"url"|"orientation"
51742|24928|http://images.cfregisters.org/M119_02_R90/M119_02_R90_317r.jpg|recto
51736|24925|http://images.cfregisters.org/M119_02_R90/M119_02_R90_311r.jpg|recto
51771|24942|http://images.cfregisters.org/M119_02_R90/M119_02_R90_346v.jpg|verso
51734|24924|http://images.cfregisters.org/M119_02_R90/M119_02_R90_309r.jpg|recto
51767|24940|http://images.cfregisters.org/M119_02_R90/M119_02_R90_342v.jpg|verso
51763|24938|http://images.cfregisters.org/M119_02_R90/M119_02_R90_338v.jpg|verso
51738|24926|http://images.cfregisters.org/M119_02_R90/M119_02_R90_313r.jpg|recto
51783|24948|http://images.cfregisters.org/M119_02_R90/M119_02_R90_358v.jpg|verso
51759|24936|http://images.cfregisters.org/M119_02_R90/M119_02_R90_334v.jpg|verso
51754|24934|http://images.cfregisters.org/M119_02_R90/M119_02_R90_329r.jpg|recto
51785|24949|http://images.cfregisters.org/M119_02_R90/M119_02_R90_360v.jpg|verso
51760|24937|http://images.cfregisters.org/M119_02_R90/M119_02_R90_335r.jpg|recto
51716|24915|http://images.cfregisters.org/M119_02_R90/M119_02_R90_291r.jpg|recto
51789|24951|http://images.cfregisters.org/M119_02_R90/M119_02_R90_364v.jpg|verso
51787|24950|http://images.cfregisters.org/M119_02_R90/M119_02_R90_362v.jpg|verso
51740|24927|http://images.cfregisters.org/M119_02_R90/M119_02_R90_315r.jpg|recto
51770|24942|http://images.cfregisters.org/M119_02_R90/M119_02_R90_345r.jpg|recto
51776|24945|http://images.cfregisters.org/M119_02_R90/M119_02_R90_351r.jpg|recto
51732|24923|http://images.cfregisters.org/M119_02_R90/M119_02_R90_307r.jpg|recto
51766|24940|http://images.cfregisters.org/M119_02_R90/M119_02_R90_341r.jpg|recto
51768|24941|http://images.cfregisters.org/M119_02_R90/M119_02_R90_343r.jpg|recto
51762|24938|http://images.cfregisters.org/M119_02_R90/M119_02_R90_337r.jpg|recto
51782|24948|http://images.cfregisters.org/M119_02_R90/M119_02_R90_357r.jpg|recto
51726|24920|http://images.cfregisters.org/M119_02_R90/M119_02_R90_301r.jpg|recto
51784|24949|http://images.cfregisters.org/M119_02_R90/M119_02_R90_359r.jpg|recto
51780|24947|http://images.cfregisters.org/M119_02_R90/M119_02_R90_355r.jpg|recto
51788|24951|http://images.cfregisters.org/M119_02_R90/M119_02_R90_363r.jpg|recto
51774|24944|http://images.cfregisters.org/M119_02_R90/M119_02_R90_349r.jpg|recto
51778|24946|http://images.cfregisters.org/M119_02_R90/M119_02_R90_353r.jpg|recto
51772|24943|http://images.cfregisters.org/M119_02_R90/M119_02_R90_347r.jpg|recto
51790|24952|http://images.cfregisters.org/M119_02_R90/M119_02_R90_365r.jpg|recto
