"id"|"id_auteur"|"titre"|"genre"|"actes"|"prose_vers"|"prologue"|"musique_danse_machine"|"titre_alternatif"|"date_de_creation"
5673|{77}|Cocher supposé (Le)|comédie|1|prose|false|false||1684-06-09
5674|{84}|Comédien poète (Le) / Soeur ridicule (titre alt.). |comédie|5|vers|false|true||
5680|{178}|Divorce de l'amour et de la raison ou le Vieux monde (Le)|comédie|3|vers|true|true||1723-09-01
5681|{300}|Divorce ou les Époux mécontents (Le)|comédie|3|vers|true|true||1730-04-29
5683|{256}|Faucon (Le)|comédie|1|vers|false|false||1719-09-01
5687|{21}|Faux sincère (Le)|comédie|5|vers|false|false||1731-06-16
5689|{296}|Flatteur (Le)|comédie|5|prose|false|false||1696-11-24
5690|{148}|Fou de qualité (Le) ou Le Fou raisonnable|comédie|1|vers|false|true||
5693|{56}|Geôlier de soi-même ou Jodelet prince (Le)|comédie|5|vers|false|false||
5695|{109}|Jaloux (Le)|comédie|5|vers|false|false||1687-12-17
5702|{190}|Mari curieux (Le)|comédie|1|prose|false|true||1731-07-17
5703|{288}|Mari égaré (Le)|comédie|1|prose|true|false||1739-11-14
5706|{184}|Mariage fait par lettre de change (Le)|comédie|1|vers|false|true||1735-07-13
5707|{18}|Marié sans le savoir (Le)|comédie|1|prose|false|false||1740-01-08
5709|{159}|Médecin de l'esprit (Le)|comédie|1|prose|false|false||1739-10-14
5712|{21}|Négligent (Le)|comédie|3|prose|true|true||1692-02-27
5716|{303}|Paresseux (Le)|comédie|3|vers|true|false||1733-04-28
5717|{274}|Parisien (Le)|comédie|5|vers|false|false||1682-02-07
5718|{178}|Pastor-fido (Le)|pastorale héroïque|3|vers|true|false||1726-09-07
5719|{178}|Père intéressé ou les Vrais amis (Le)|comédie|5|vers|false|false||1720-11-26
5723|{51}|Petit-maître corrigé (Le)|comédie|3|prose|false|false||1734-11-06
5725|{118}|Pouvoir de la sympathie (Le)|comédie|3|vers|false|false||1738-07-05
5726|{144}|Prince de Noisy (Le)|comédie héroïque|3|prose|true|true||1730-11-04
5727|{14}|Prix de l'arquebuse (Le)|comédie|1|prose|false|true||1717-10-01
5728|{197}|Procès des Sens (Le)|comédie|1|vers|false|false||1732-06-16
5729|{304}|Rajeunissement inutile (Le)|comédie|3|vers|false|true||1738-09-27
5730|{110}|Rendez-vous (Le)|comédie|1|vers|false|false||1683-05-06
5732|{7}|Retour de l'Ombre de Molière (Le)|comédie|1|vers|false|false||1739-11-21
5733|{184}|Réveil d'Épiménide (Le)|comédie|3|vers|true|false||1735-01-07
5735|{305}|Rival secrétaire (Le)|comédie|1|vers|true|false||1737-11-12
5740|{77}|Souper mal apprêté (Le)|comédie|1|vers|false|false||
5741|{98}|Talisman (Le)|comédie|1|prose|false|true||1726-03-27
5742|{115}|Temps présent ou le Triomphe du temps présent (Le)|comédie|1|prose|false|true||1724-10-18
5748|{293}|Acteurs déplacés ou l'Amant comédien (Les)|comédie|1|prose|true|true||1735-10-14
5751|{307}|Amants déguisés (Les)|comédie|3|prose|false|false||1728-02-07
5755|{197}|Amusements de l'automne ou les Temples d'Éphèse et de Gnide (Les)|comédie|4|prose|true|true||1725-10-17
5756|{77}|Bourgeoises de qualité (Les)|comédie|5|vers|false|false||1690-07-26
5758|{309}|Captifs (Les)|comédie|3|vers|true|true||1714-09-28
5759|{18}|Caractères de Thalie (Les)|comédie|3|prose / vers|true|true||1737-07-18
5762|{91}|Courses de Tempé (Les)|pastorale|1|vers|false|true||1734-09-01
5764|{14}|Eaux de Bourbon (Les)|comédie|1|prose|false|true||1696-10-04
5767|{159}|Époux réunis ou la Veuve fille et femme (Les)|comédie|5|vers|false|false||1738-10-31
5768|{2}|Fâcheux (Les)|comédie-ballet|3|vers|true|true||
5769|{14}|Fêtes du cours (Les)|comédie|1|prose|true|true||1714-09-05
5775|{266}|Héraclides (Les)|tragédie|5|vers|false|false||1719-12-29
5777|{312}|Mécontents (Les)|comédie|1|vers|true|true||1734-12-01
5783|{20}|Philosophes amoureux (Les)|comédie|5|vers|false|false||1729-11-26
5785|{293,190}|Réjouissances publiques ou le Gratis (Les)|comédie|1|prose|false|true||1729-09-18
5787|{51}|Serments indiscrets (Les)|comédie|5|prose|false|false||1732-06-08
5789|{144}|Trois spectacles (Les) ou Polixène, tragédie, L'Avare amoureux, comédie et Pan et Doris, pastorale héroïque|tragédie-comédie-pastorale héroïque|3|prose / vers|true|true||1729-07-06
5792|{314}|Visionnaires (Les)|comédie|5|vers|false|false||
5793|{18}|Lucas et Perrette|comédie|1|prose|false|true||1734-11-17
5794|{224}|Lysimachus|tragédie|5|vers|false|false||1737-12-13
5797|{315}|Mariamne|tragédie|5|vers|false|false||1725-02-15
5798|{316}|Marie Stuart|tragédie|5|vers|false|false||1734-05-03
5800|{49}|Maximien|tragédie|5|vers|false|false||1738-02-28
5801|{252}|Médus|tragédie|5|vers|false|false||1739-01-12
5809|{266}|Nitétis|tragédie|5|vers|false|false||1723-02-11
5811|{98}|Œdipe|tragédie|5|vers|false|false||1726-03-18
5812|{71}|Œdipe|tragédie|5|vers|false|false||
5814|{45}|Oreste et Pylade|tragédie|5|vers|false|false||1697-12-11
5816|{81}|Pandore|comédie|1|vers|false|true||1721-06-13
5818|{178}|Pélopée|tragédie|5|vers|false|false||1733-07-18
5819|{236}|Pénélope|tragédie|5|vers|false|false||1684-01-22
5821|{135}|Pharamond|tragédie|5|vers|false|false||1736-08-14
5823|{115}|Plutus|comédie|3|vers|false|true||1720-02-01
5826|{223}|Polixène|tragédie|5|vers|false|false||1696-02-03
5830|{271}|Régulus|tragédie|5|vers|false|false||1688-01-04
5832|{98}|Romulus|tragédie|5|vers|false|false||1722-01-08
5833|{319}|Sabinus et Éponine|tragédie|5|vers|false|false||1734-12-29
5836|{315}|Saül|tragédie|5|vers|false|false||1705-02-27
5837|{239}|Scévole|tragédie|5|vers|false|false||
5839|{262}|Sémiramis|tragédie|5|vers|false|false||1716-02-01
5840|{64}|Sémiramis|tragédie|5|vers|false|false||1717-04-10
5843|{45}|Sophonisbe|tragédie|5|vers|false|false||1716-11-10
5844|{56}|Stilicon|tragédie|5|vers|false|false||
5847|{227}|Téglis|tragédie|5|vers|false|false||1735-09-19
5849|{320}|Thélamire|tragédie|5|vers|false|false||1739-07-06
5852|{178}|Tibère|tragédie|5|vers|false|false||1726-12-13
5854|{79}|Tontine (La)|comédie|1|prose|false|false||1732-02-20
5855|{50}|Tiridate|tragédie|5|vers|false|false||1691-02-12
5866|{49}|Paméla|comédie|5|vers|false|false||1743-12-06
5869|{270}|Vieillards rajeunis (Les)|comédie|1|vers libre|false|true||1743-11-09
5872|{322}|Sylvie|tragédie|1|prose|true|false||1741-08-17
5873|{118}|Embarras du choix (L')|comédie|5|vers|false|false||1741-12-11
5874|{323}|Bal de Passy (Le)|comédie|1|prose|false|false||1741-08-17
5875|{47}|Trois rivaux (Les)|comédie|5|vers|false|false||1743-02-04
5876|{118}|Fête d'Auteuil (La) ou la Fausse méprise|comédie|3|vers libres|false|false||1742-08-23
5881|{15}|Esther|tragédie|3|vers|true|true||1689-01-26
5914|{91}|Amant mystérieux (L')|comédie|3|vers|false|false||1734-08-30
5916|{327}|Quiproquo (Le)|comédie|3|vers|false|false||1743-10-01
